,,,,name,name,year,ideo 2018,IDEO 2010,change,,,2010,2018
116,37,CA,100,"BASS, Karen",C001061,5,-0.478,-0.365,-0.113,,VetDem 2010,-0.232,-0.256
116,2,GA,100,"BISHOP, Sanford Dixon, Jr.",G000551,5,-0.019,0.141,-0.16,,Dem General,-0.21,-0.19
116,3,OR,100,"BLUMENAUER, Earl",R000585,5,-0.6455,-0.4705,-0.175,,VetGOP,0.302,0.314
116,1,OR,100,"BONAMICI, Suzanne",R000582,5,-0.452,-0.3745,-0.0775,,GOP General,0.26,0.31
116,1,NC,100,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",O000168,5,-0.2565,-0.088,-0.1685,,,,
116,7,IN,100,"CARSON, André",H000874,5,-0.1385,-0.1665,0.028,,2010,-0.232,-0.21
116,14,FL,100,"CASTOR, Kathy",D000610,5,-0.278,-0.193,-0.085,,2010,0.302,0.26
116,27,CA,100,"CHU, Judy",C001051,5,-0.376,-0.413,0.037,,2018,-0.256,-0.19
116,1,RI,100,"CICILLINE, David N.",S000364,5,-0.438,-0.2935,-0.1445,,2018,0.314,0.31
116,9,NY,100,"CLARKE, Yvette Diane",M001165,5,-0.5365,-0.414,-0.1225,,,,
116,1,MO,100,"CLAY, William Lacy, Jr.",L000563,5,-0.2845,-0.342,0.0575,,,,
116,5,MO,100,"CLEAVER, Emanuel, II",L000564,5,-0.1595,-0.246,0.0865,,,,
116,6,SC,100,"CLYBURN, James Enos",S001145,5,-0.2525,-0.098,-0.1545,,-1,,
116,9,TN,100,"COHEN, Stephen",S001150,5,-0.316,-0.428,0.112,,1,,
116,11,VA,100,"CONNOLLY, Gerald E. (Gerry)",W000187,5,-0.1535,-0.169,0.0155,,,,
116,5,TN,100,"COOPER, James Hayes Shofner",S001148,5,-0.0095,-0.101,0.0915,,,,
116,16,CA,100,"COSTA, Jim",C000059,5,0.248,0.173,0.075,,,,
116,2,CT,100,"COURTNEY, Joe",D000197,5,-0.2225,-0.121,-0.1015,,,,
116,28,TX,100,"CUELLAR, Henry",S001187,5,0.247,0.1575,0.0895,,,,
